District,Date,Year,Month,Annual_Rainfall_mm,River_Water_Level_m,Temperature_C,Humidity_Percent,Forest_Cover_Percent,Population_Density,Agricultural_Land_Percent,Urbanization_Rate
সিরাজগঞ্জ,2020-01-01,2020,1,1453.0705384163846,6.432853300575574,28.88098294524078,87.56618982682173,16.706909865816918,1669.9260128283704,83.58088944317001,44.602336055316954
সিরাজগঞ্জ,2020-01-31,2020,1,645.770600624699,4.679799938962398,30.209118072442926,91.91455171832415,28.693377752645876,2247.1048558647,83.39116797921127,31.709058649576164
সিরাজগঞ্জ,2020-03-01,2020,3,1028.9981462523465,4.946649052422231,27.161297466962637,93.92102472746609,11.148748100112991,2022.0867708768728,64.51715384901107,27.32111629310812
সিরাজগঞ্জ,2020-03-31,2020,3,738.4116679422107,6.939659151654274,28.445883241099345,93.04549552509235,27.806062748096203,1818.5589117949175,57.155774907076875,42.488917281383394
সিরাজগঞ্জ,2020-04-30,2020,4,1401.0059632969082,4.173227252992166,31.92251089066834,71.27877236635938,17.005888389599352,2387.8041498994944,52.81821185727043,31.629343432629565
সিরাজগঞ্জ,2020-05-30,2020,5,2266.1641114218705,10.292545051331922,34.052171526856725,76.19436632220399,29.339469533257564,810.2585382542981,63.117243879495206,15.664771422672738
সিরাজগঞ্জ,2020-06-29,2020,6,4365.707711424265,14.628116560714142,29.205113465712998,79.005871741741,38.824990300114486,2340.636037570442,66.3623617764217,19.522253421128283
সিরাজগঞ্জ,2020-07-29,2020,7,3378.125445066707,13.976422521424597,25.19512996960491,87.68957410616609,24.125201104927097,2049.387919590676,68.57443563439264,35.00542461158889
সিরাজগঞ্জ,2020-08-28,2020,8,3521.216077939646,12.371849078630875,27.743025428378825,81.19676140746338,27.097807982094384,877.8013890617837,60.69779331638293,33.24815592561572
সিরাজগঞ্জ,2020-09-27,2020,9,3731.5821672673433,15.410851566314022,29.146438778724345,69.5626646511506,23.212702527565305,2284.4126019219757,64.55606489486803,40.43415395870802
সিরাজগঞ্জ,2020-10-27,2020,10,2192.9964383501915,10.19757107529929,30.216834374127906,78.1451995892844,39.2114213999303,1697.2839998320094,63.49162754667467,38.58856758127138
সিরাজগঞ্জ,2020-11-26,2020,11,1433.6903178370344,7.2177575226102295,29.1967575726138,75.38738622453158,34.23537701220418,1238.4190814623712,52.17737642152375,43.56436081267766
সিরাজগঞ্জ,2020-12-26,2020,12,890.2527583603869,5.860263581168452,27.035035458318056,89.26669274520945,11.868202272385663,849.5880013882353,78.02990519943134,16.33768721204993
সিরাজগঞ্জ,2021-01-25,2021,1,1353.0501207619436,6.932219126528636,32.72542532945474,88.49145108140696,35.357421979578376,2099.5868286113982,83.94993948587117,34.56365575692847
সিরাজগঞ্জ,2021-02-24,2021,2,1558.509863856938,6.031278685096576,25.54000801237616,74.86407567276686,28.815872220803236,1770.325559658348,64.25477937891083,20.413056013720464
সিরাজগঞ্জ,2021-03-26,2021,3,950.8175371259474,5.67360049715956,34.762237138246775,66.75441813349536,34.98114085257137,2340.126693239524,67.07206546187248,44.04318603734065
সিরাজগঞ্জ,2021-04-25,2021,4,903.9532332887695,6.268388662511287,26.060345731646123,69.58604773568801,13.826697995316657,2407.6747606672534,50.009429848660616,38.898094438265716
সিরাজগঞ্জ,2021-05-25,2021,5,2773.0305370932824,10.992516357290295,30.75414380202558,66.4237029158538,17.331214074314246,1906.1571567872697,62.78362798610843,22.72171613151923
সিরাজগঞ্জ,2021-06-24,2021,6,3596.438157586542,13.606174136031994,34.11840996287268,67.41347274337281,17.982416232896064,1068.814699134575,75.54070034388324,38.25765964968894
সিরাজগঞ্জ,2021-07-24,2021,7,3249.6730195236255,13.662794604911673,27.30529957201295,66.0066577994307,28.67028472843676,1486.8314344125888,57.629670274977656,19.698502229437544
সিরাজগঞ্জ,2021-08-23,2021,8,4298.662574200324,12.240304686678376,25.773614527039253,65.83623143717504,35.81673001170779,1192.9447248398208,75.60014152305031,16.562915123338858
সিরাজগঞ্জ,2021-09-22,2021,9,4209.406110794421,16.536712040158655,34.23697270829409,74.65903914768276,31.257609750376727,2394.7061272969404,55.17855891234356,38.54018530423282
